source,slate_share,hits,precision,exclusive_slots,exclusive_hits
repeat,0.4917533266241753,10750,0.12222159058609516,4741,326
two_tower,0.8970423795147042,11535,0.07189379538159493,20141,335
item_knn,0.6241976965224197,7178,0.06429364766579485,2324,41
popularity,0.22244772447724478,1660,0.041722170558222534,1665,22
